system,failure_type,image_name,event_type,category,gt_categories,pred_categories,grounding_sources,hazard_text,short_evidence
GROVE_full_paper_archived,primary_grounding_failure,1.jpg,FP,PPE_Violation,Other,Other|PPE_Violation,,"Missing PPE (hard hats, safety vests) for worker in background",hazard category emitted without a valid final grounded box
GROVE_full_paper_archived,fallback_grounding_failure,3.jpeg,FP,PPE_Violation,Fall_Hazard|Housekeeping_Storage,Fall_Hazard|Housekeeping_Storage|PPE_Violation,"DETR+CLIP (Sim=0.76, Match='cell phone')","Missing PPE (hard hats, safety vests)",fallback source on false-positive category
GROVE_full_paper_archived,reasoning_omission,5.webp,FN,Other,Fall_Hazard|Housekeeping_Storage|Other,Fall_Hazard|Housekeeping_Storage,,,caption cued category but hazard response omitted it
GROVE_full_paper_archived,reasoning_omission,6.jpeg,FN,Fall_Hazard,Fall_Hazard|Other,,,,caption cued category but hazard response omitted it
GROVE_full_paper_archived,reasoning_omission,6.jpeg,FN,Other,Fall_Hazard|Other,,,,caption cued category but hazard response omitted it
GROVE_full_paper_archived,reasoning_omission,7.jpeg,FN,Other,Fall_Hazard|Other,Fall_Hazard,,,caption cued category but hazard response omitted it
GROVE_full_paper_archived,reasoning_hallucination,8.jpeg,FP,CaughtInBetween_hazard,,CaughtInBetween_hazard|PPE_Violation,GroundingDINO,Potential unguarded machinery behind barriers,hazard reasoner emitted category absent from GT
GROVE_full_paper_archived,reasoning_hallucination,8.jpeg,FP,PPE_Violation,,CaughtInBetween_hazard|PPE_Violation,GroundingDINO,Missing hard hat on worker in foreground,hazard reasoner emitted category absent from GT
GROVE_full_paper_archived,reasoning_omission,9.jpeg,FN,Other,Fall_Hazard|Other,Fall_Hazard,,,caption cued category but hazard response omitted it
GROVE_full_paper_archived,reasoning_omission,16.webp,FN,Other,Fall_Hazard|Other,Fall_Hazard,,,caption cued category but hazard response omitted it
GROVE_full_paper_archived,reasoning_hallucination,26.jpeg,FP,PPE_Violation,Housekeeping_Storage,Housekeeping_Storage|PPE_Violation,GroundingDINO,Missing hard hats and high-visibility vests on workers in an active construction zone,hazard reasoner emitted category absent from GT
GROVE_full_paper_archived,reasoning_omission,28.webp,FN,Housekeeping_Storage,Housekeeping_Storage,,,,caption cued category but hazard response omitted it
GROVE_full_paper_archived,reasoning_hallucination,32.webp,FP,Housekeeping_Storage,,Housekeeping_Storage,GroundingDINO,Poor housekeeping due to cluttered material storage and lack of defined walkways,hazard reasoner emitted category absent from GT
GROVE_full_paper_archived,fallback_grounding_failure,39.avif,FP,Electrocution_Hazard,,Electrocution_Hazard|Other|PPE_Violation,"DETR+CLIP (Sim=0.75, Match='person')",Use of digital multimeter in an environment that may be live without verified de-energization and lockout/tagout (LOTO) procedures,fallback source on false-positive category
GROVE_full_paper_archived,fallback_grounding_failure,39.avif,FP,Other,,Electrocution_Hazard|Other|PPE_Violation,"DETR+CLIP (Sim=0.78, Match='person')",Lack of visible warning signs or barriers around open switchgear indicating high-voltage hazard or restricted access,fallback source on false-positive category
GROVE_full_paper_archived,reasoning_hallucination,39.avif,FP,PPE_Violation,,Electrocution_Hazard|Other|PPE_Violation,GroundingDINO,"Worker exposed to live electrical components without arc-flash PPE (e.g., arc-rated clothing, face shield)",hazard reasoner emitted category absent from GT
GROVE_full_paper_archived,reasoning_omission,42.webp,FN,Housekeeping_Storage,Electrocution_Hazard|Housekeeping_Storage,Electrocution_Hazard|Fall_Hazard,,,caption cued category but hazard response omitted it
GROVE_full_paper_archived,reasoning_hallucination,42.webp,FP,Fall_Hazard,Electrocution_Hazard|Housekeeping_Storage,Electrocution_Hazard|Fall_Hazard,GroundingDINO,Wet rooftop surface increasing slip/fall risk for workers performing maintenance tasks | Missing fall protection system despite presence of guardrail at roof edge; standing worker's harness strap suggests potential need for full-body harness if working near unprotected edges,hazard reasoner emitted category absent from GT
GROVE_full_paper_archived,reasoning_hallucination,44.jpeg,FP,Electrocution_Hazard,,Electrocution_Hazard|PPE_Violation,GroundingDINO,"Worker using a multimeter on an open electrical panel without verifying lockout/tagout (LOTO) status — potential for arc flash or shock if live parts are energized during testing. | Open electrical panel with exposed conductors, breakers, and terminals accessible during active testing — lack of physical barriers or warning signs around energized equipment.",hazard reasoner emitted category absent from GT
GROVE_full_paper_archived,reasoning_hallucination,44.jpeg,FP,PPE_Violation,,Electrocution_Hazard|PPE_Violation,GroundingDINO,Use of leather work gloves over insulated gloves while performing live electrical work — leather is not electrically insulating and can compromise glove integrity under voltage stress.,hazard reasoner emitted category absent from GT
GROVE_full_paper_archived,fallback_grounding_failure,45.jpeg,FP,Fall_Hazard,Electrocution_Hazard,Electrocution_Hazard|Fall_Hazard,"DETR+CLIP (Sim=0.75, Match='person')",Missing fall protection or guardrails if panel is elevated (not clearly visible but possible in industrial settings),fallback source on false-positive category
GROVE_full_paper_archived,reasoning_omission,46.jpg,FN,Electrocution_Hazard,Electrocution_Hazard|Fall_Hazard|PPE_Violation,Other|PPE_Violation,,,caption cued category but hazard response omitted it
GROVE_full_paper_archived,reasoning_omission,46.jpg,FN,Fall_Hazard,Electrocution_Hazard|Fall_Hazard|PPE_Violation,Other|PPE_Violation,,,caption cued category but hazard response omitted it
GROVE_full_paper_archived,reasoning_hallucination,46.jpg,FP,Other,Electrocution_Hazard|Fall_Hazard|PPE_Violation,Other|PPE_Violation,GroundingDINO,No visible warning signage on mobile aerial work platform,hazard reasoner emitted category absent from GT
GROVE_full_paper_archived,fallback_grounding_failure,51.jpg,FP,Fall_Hazard,,Fall_Hazard|PPE_Violation,"DETR+CLIP (Sim=0.71, Match='person')|GroundingDINO",Unguarded cliff edge with only rope/chain barrier | Inadequate fall protection system for elevated work area,fallback source on false-positive category
GROVE_full_paper_archived,reasoning_hallucination,51.jpg,FP,PPE_Violation,,Fall_Hazard|PPE_Violation,GroundingDINO,"Missing PPE (hard hat, high-visibility vest) for individual standing near cliff edge",hazard reasoner emitted category absent from GT
GROVE_full_paper_archived,reasoning_hallucination,58.jpg,FP,Fall_Hazard,Other,Fall_Hazard|Other,GroundingDINO,Materials stored directly on the ground without protection from weather or damage; ladder leaning against wall without visible stabilization or fall protection measures in place | Unfinished building with open window openings lacking protective covers or barriers,hazard reasoner emitted category absent from GT
GROVE_full_paper_archived,reasoning_hallucination,59.jpg,FP,Fall_Hazard,,Fall_Hazard|PPE_Violation,GroundingDINO,Lack of fall protection system,hazard reasoner emitted category absent from GT
GROVE_full_paper_archived,fallback_grounding_failure,59.jpg,FP,PPE_Violation,,Fall_Hazard|PPE_Violation,"DETR+CLIP (Sim=0.68, Match='airplane')","Missing PPE (hard hat, high-visibility vest)",fallback source on false-positive category
GROVE_full_paper_archived,reasoning_hallucination,60.jpg,FP,Housekeeping_Storage,,Housekeeping_Storage|PPE_Violation,GroundingDINO,Poor housekeeping,hazard reasoner emitted category absent from GT
GROVE_full_paper_archived,fallback_grounding_failure,60.jpg,FP,PPE_Violation,,Housekeeping_Storage|PPE_Violation,"DETR+CLIP (Sim=0.80, Match='person')",Missing hard hat,fallback source on false-positive category
GROVE_full_paper_archived,fallback_grounding_failure,64.jpg,FP,Fall_Hazard,,Fall_Hazard|Housekeeping_Storage,"DETR+CLIP (Sim=0.79, Match='person')|GroundingDINO",Missing fall protection harnesses for workers on elevated surfaces (if applicable) | Lack of visible guardrails or barriers around open floor openings or edges (if present in background/upper levels),fallback source on false-positive category
GROVE_full_paper_archived,reasoning_hallucination,64.jpg,FP,Housekeeping_Storage,,Fall_Hazard|Housekeeping_Storage,GroundingDINO,Improper storage or placement of gloves on workbench without containment (potential trip/fall hazard if cluttered),hazard reasoner emitted category absent from GT
GROVE_full_paper_archived,reasoning_hallucination,65.jpg,FP,Housekeeping_Storage,PPE_Violation,Housekeeping_Storage|PPE_Violation,GroundingDINO,Motorcycle parked in active work zone without proper containment or warning signage,hazard reasoner emitted category absent from GT
GROVE_full_paper_archived,reasoning_hallucination,71.jpg,FP,Fall_Hazard,Housekeeping_Storage,Fall_Hazard|Housekeeping_Storage|PPE_Violation,GroundingDINO,"Missing fall protection (no guardrails, safety nets, or personal fall arrest systems visible in an unfinished interior space with exposed ceiling infrastructure)",hazard reasoner emitted category absent from GT
GROVE_full_paper_archived,reasoning_hallucination,71.jpg,FP,PPE_Violation,Housekeeping_Storage,Fall_Hazard|Housekeeping_Storage|PPE_Violation,GroundingDINO,"Inconsistent PPE usage (some individuals not wearing gloves, which may be required for specific tasks)",hazard reasoner emitted category absent from GT
GROVE_full_paper_archived,reasoning_hallucination,72.jpg,FP,Housekeeping_Storage,PPE_Violation,Housekeeping_Storage|PPE_Violation,GroundingDINO,Workers seated on stools/crates instead of designated seating or break areas,hazard reasoner emitted category absent from GT
GROVE_full_paper_archived,reasoning_hallucination,74.jpeg,FP,Fall_Hazard,,Fall_Hazard|PPE_Violation,GroundingDINO,Water bottle placed on guardrail,hazard reasoner emitted category absent from GT
GROVE_full_paper_archived,fallback_grounding_failure,74.jpeg,FP,PPE_Violation,,Fall_Hazard|PPE_Violation,"DETR+CLIP (Sim=0.73, Match='person')",Missing hard hats (baseball cap worn instead),fallback source on false-positive category
GROVE_full_paper_archived,reasoning_hallucination,76.jpg,FP,Fall_Hazard,,Fall_Hazard,GroundingDINO,Worker on the right lacks fall protection harness while working at height (implied by unfinished structure) | Worker on the left is adjusting harness but not yet secured — potential gap in fall protection implementation | No visible guardrails or barriers around open floor openings or elevated work areas in background,hazard reasoner emitted category absent from GT
GROVE_full_paper_archived,reasoning_hallucination,81.png,FP,Housekeeping_Storage,Other,Housekeeping_Storage|Other,GroundingDINO,Loose soil/debris accumulation around equipment within the work zone may pose tripping or stability hazards,hazard reasoner emitted category absent from GT
GROVE_full_paper_archived,reasoning_hallucination,91.png,FP,Housekeeping_Storage,,Housekeeping_Storage,GroundingDINO,Lack of additional safety signage beyond floor marking,hazard reasoner emitted category absent from GT
GROVE_full_paper_archived,reasoning_hallucination,95.png,FP,Fall_Hazard,,Fall_Hazard|PPE_Violation,GroundingDINO,No visible safety harness on operator,hazard reasoner emitted category absent from GT
GROVE_full_paper_archived,reasoning_hallucination,95.png,FP,PPE_Violation,,Fall_Hazard|PPE_Violation,GroundingDINO,Operator not wearing a hard hat,hazard reasoner emitted category absent from GT
GROVE_full_paper_archived,reasoning_hallucination,109.jpg,FP,Other,Fall_Hazard|PPE_Violation,Fall_Hazard|Other|PPE_Violation,GroundingDINO,Inconsistent safety messaging vs. observed behavior (banner says “Think Safety First!” but no PPE worn),hazard reasoner emitted category absent from GT
GROVE_full_paper_archived,reasoning_hallucination,110.jpg,FP,Fall_Hazard,Housekeeping_Storage|PPE_Violation,Fall_Hazard|Housekeeping_Storage|PPE_Violation,GroundingDINO,Improper use of fall protection system on child,hazard reasoner emitted category absent from GT
GROVE_full_paper_archived,reasoning_hallucination,111.jpg,FP,CaughtInBetween_hazard,Housekeeping_Storage|PPE_Violation,CaughtInBetween_hazard|Housekeeping_Storage|PPE_Violation,GroundingDINO,Lack of machine guarding or safety signage for rotating machinery (angle grinder/chop saw),hazard reasoner emitted category absent from GT
GROVE_full_paper_archived,fallback_grounding_failure,113.jpg,FP,Fall_Hazard,PPE_Violation,Fall_Hazard|PPE_Violation,"DETR+CLIP (Sim=0.70, Match='person')",Unprotected fall hazard near elevated work area (concrete structure/overpass in background),fallback source on false-positive category
GROVE_full_paper_archived,reasoning_omission,114.jpeg,FN,CaughtInBetween_hazard,CaughtInBetween_hazard|Fall_Hazard|PPE_Violation,Fall_Hazard|PPE_Violation,,,caption cued category but hazard response omitted it
GROVE_full_paper_archived,reasoning_omission,116.jpeg,FN,CaughtInBetween_hazard,CaughtInBetween_hazard|Fall_Hazard|Other,Fall_Hazard,,,caption cued category but hazard response omitted it
GROVE_full_paper_archived,reasoning_omission,116.jpeg,FN,Other,CaughtInBetween_hazard|Fall_Hazard|Other,Fall_Hazard,,,caption cued category but hazard response omitted it
GROVE_full_paper_archived,reasoning_omission,121.jpeg,FN,Other,Electrocution_Hazard|Other|PPE_Violation,Electrocution_Hazard|Fall_Hazard|PPE_Violation,,,caption cued category but hazard response omitted it
GROVE_full_paper_archived,reasoning_hallucination,121.jpeg,FP,Fall_Hazard,Electrocution_Hazard|Other|PPE_Violation,Electrocution_Hazard|Fall_Hazard|PPE_Violation,GroundingDINO,Missing fall protection harnesses on elevated work platform,hazard reasoner emitted category absent from GT
GROVE_full_paper_archived,reasoning_omission,122.jpg,FN,Housekeeping_Storage,Electrocution_Hazard|Housekeeping_Storage,Electrocution_Hazard,,,caption cued category but hazard response omitted it
GROVE_full_paper_archived,reasoning_omission,123.jpg,FN,Other,Fall_Hazard|Other,Fall_Hazard,,,caption cued category but hazard response omitted it
GROVE_full_paper_archived,reasoning_omission,128.png,FN,Other,Other|PPE_Violation,Electrocution_Hazard|PPE_Violation,,,caption cued category but hazard response omitted it
GROVE_full_paper_archived,reasoning_hallucination,128.png,FP,Electrocution_Hazard,Other|PPE_Violation,Electrocution_Hazard|PPE_Violation,GroundingDINO,Electrical cords running along floor in active work area,hazard reasoner emitted category absent from GT
GROVE_full_paper_archived,reasoning_omission,130.jpeg,FN,PPE_Violation,Fall_Hazard|Other|PPE_Violation,Fall_Hazard|Other,,,caption cued category but hazard response omitted it
GROVE_full_paper_archived,reasoning_hallucination,134.jpg,FP,Electrocution_Hazard,Fall_Hazard|Housekeeping_Storage,Electrocution_Hazard|Fall_Hazard|Housekeeping_Storage,GroundingDINO,Unprotected electrical components/cables exposed near equipment,hazard reasoner emitted category absent from GT
GROVE_full_paper_archived,reasoning_hallucination,135.jpg,FP,Housekeeping_Storage,Electrocution_Hazard|Fall_Hazard,Electrocution_Hazard|Fall_Hazard|Housekeeping_Storage,GroundingDINO,Unpaved dirt path with loose debris/vegetation near work zone increases slip/trip hazard for ground crew,hazard reasoner emitted category absent from GT
GROVE_full_paper_archived,reasoning_hallucination,136.jpg,FP,Fall_Hazard,PPE_Violation,Fall_Hazard|PPE_Violation,GroundingDINO,"Poor housekeeping (debris, twigs, leaves scattered around active work area)",hazard reasoner emitted category absent from GT
GROVE_full_paper_archived,reasoning_omission,138.jpg,FN,Other,Other,,,,caption cued category but hazard response omitted it
GROVE_full_paper_archived,reasoning_omission,139.jpg,FN,CaughtInBetween_hazard,CaughtInBetween_hazard|PPE_Violation,PPE_Violation,,,caption cued category but hazard response omitted it
GROVE_full_paper_archived,reasoning_omission,140.jpeg,FN,Housekeeping_Storage,Housekeeping_Storage|PPE_Violation,PPE_Violation,,,caption cued category but hazard response omitted it
GROVE_full_paper_archived,reasoning_omission,143.jpg,FN,Other,Fall_Hazard|Other,Fall_Hazard|Housekeeping_Storage|PPE_Violation,,,caption cued category but hazard response omitted it
GROVE_full_paper_archived,reasoning_hallucination,143.jpg,FP,Housekeeping_Storage,Fall_Hazard|Other,Fall_Hazard|Housekeeping_Storage|PPE_Violation,GroundingDINO,"Poor housekeeping — scattered materials (lumber, containers, debris) near work areas and walkways",hazard reasoner emitted category absent from GT
GROVE_full_paper_archived,reasoning_hallucination,143.jpg,FP,PPE_Violation,Fall_Hazard|Other,Fall_Hazard|Housekeeping_Storage|PPE_Violation,GroundingDINO,Workers not wearing high-visibility vests while working in active construction zone,hazard reasoner emitted category absent from GT
GROVE_full_paper_archived,caption_omission,145.jpg,FN,StruckBy_Hazard,Fall_Hazard|PPE_Violation|StruckBy_Hazard,Fall_Hazard|PPE_Violation,,,caption lacked a direct cue for the missed category
GROVE_full_paper_archived,reasoning_hallucination,148.jpeg,FP,StruckBy_Hazard,Fall_Hazard,Fall_Hazard|StruckBy_Hazard,GroundingDINO,No visible toeboards or edge protection on elevated platforms where tools/materials could fall — risk of falling objects to workers below.,hazard reasoner emitted category absent from GT
GROVE_full_paper_archived,reasoning_hallucination,149.jpeg,FP,PPE_Violation,Fall_Hazard,Fall_Hazard|PPE_Violation,GroundingDINO,Inconsistent PPE visibility (camouflage clothing obscuring high-vis vests),hazard reasoner emitted category absent from GT
GROVE_full_paper_archived,fallback_grounding_failure,154.png,FP,Other,Fall_Hazard,Fall_Hazard|Other,"DETR+CLIP (Sim=0.76, Match='person')","Potential lack of hazard communication or signage (e.g., “Fall Hazard,” “Hard Hat Area”) in visible frame — though not definitively absent, absence suggests possible non-compliance with 29 CFR 1926.20(b)(1)",fallback source on false-positive category
GROVE_full_paper_archived,reasoning_hallucination,157.jpeg,FP,Fall_Hazard,Other,Fall_Hazard|Other|PPE_Violation,GroundingDINO,"Large green pipes lying horizontally on the ground without proper support or containment, creating a tripping hazard.",hazard reasoner emitted category absent from GT
GROVE_full_paper_archived,reasoning_hallucination,157.jpeg,FP,PPE_Violation,Other,Fall_Hazard|Other|PPE_Violation,GroundingDINO,Workers not wearing eye protection while working in an area with potential debris and machinery operation.,hazard reasoner emitted category absent from GT
GROVE_full_paper_archived,reasoning_hallucination,159.jpeg,FP,Fall_Hazard,,Fall_Hazard|Housekeeping_Storage|PPE_Violation,GroundingDINO,No fall protection system visible; potential unprotected edge or elevated work area,hazard reasoner emitted category absent from GT
GROVE_full_paper_archived,fallback_grounding_failure,159.jpeg,FP,Housekeeping_Storage,,Fall_Hazard|Housekeeping_Storage|PPE_Violation,"DETR+CLIP (Sim=0.82, Match='person')",Lack of site-specific safety signage or barriers in background,fallback source on false-positive category
GROVE_full_paper_archived,fallback_grounding_failure,159.jpeg,FP,PPE_Violation,,Fall_Hazard|Housekeeping_Storage|PPE_Violation,"DETR+CLIP (Sim=0.80, Match='person')",Missing hearing protection in high-noise area,fallback source on false-positive category
GROVE_full_paper_archived,reasoning_omission,166.jpg,FN,CaughtInBetween_hazard,CaughtInBetween_hazard|Housekeeping_Storage|PPE_Violation,Housekeeping_Storage|PPE_Violation,,,caption cued category but hazard response omitted it
GROVE_full_paper_archived,reasoning_omission,171.png,FN,Housekeeping_Storage,Fall_Hazard|Housekeeping_Storage,Fall_Hazard,,,caption cued category but hazard response omitted it
GROVE_full_paper_archived,reasoning_omission,172.png,FN,CaughtInBetween_hazard,CaughtInBetween_hazard|Housekeeping_Storage|PPE_Violation,Fall_Hazard,,,caption cued category but hazard response omitted it
GROVE_full_paper_archived,reasoning_omission,172.png,FN,Housekeeping_Storage,CaughtInBetween_hazard|Housekeeping_Storage|PPE_Violation,Fall_Hazard,,,caption cued category but hazard response omitted it
GROVE_full_paper_archived,reasoning_omission,172.png,FN,PPE_Violation,CaughtInBetween_hazard|Housekeeping_Storage|PPE_Violation,Fall_Hazard,,,caption cued category but hazard response omitted it
GROVE_full_paper_archived,reasoning_hallucination,172.png,FP,Fall_Hazard,CaughtInBetween_hazard|Housekeeping_Storage|PPE_Violation,Fall_Hazard,GroundingDINO,"Ladder used without fall protection (no guardrails, safety netting, or harness) | Worker standing on upper rungs of extension ladder without proper footing or stabilization | Tools/materials (tape measure, containers) left on windowsill near open window opening",hazard reasoner emitted category absent from GT
GROVE_full_paper_archived,reasoning_omission,174.jpg,FN,CaughtInBetween_hazard,CaughtInBetween_hazard|Fall_Hazard|PPE_Violation,Fall_Hazard|PPE_Violation,,,caption cued category but hazard response omitted it
GROVE_full_paper_archived,reasoning_omission,175.png,FN,PPE_Violation,Fall_Hazard|Housekeeping_Storage|PPE_Violation,Fall_Hazard|Housekeeping_Storage,,,caption cued category but hazard response omitted it
GROVE_full_paper_archived,reasoning_omission,180.png,FN,Other,Fall_Hazard|Other,Fall_Hazard,,,caption cued category but hazard response omitted it
GROVE_full_paper_archived,reasoning_omission,182.png,FN,CaughtInBetween_hazard,CaughtInBetween_hazard|Housekeeping_Storage,PPE_Violation,,,caption cued category but hazard response omitted it
GROVE_full_paper_archived,reasoning_omission,182.png,FN,Housekeeping_Storage,CaughtInBetween_hazard|Housekeeping_Storage,PPE_Violation,,,caption cued category but hazard response omitted it
GROVE_full_paper_archived,reasoning_hallucination,182.png,FP,PPE_Violation,CaughtInBetween_hazard|Housekeeping_Storage,PPE_Violation,GroundingDINO,Dust generation from excavator operation without dust control measures,hazard reasoner emitted category absent from GT
GROVE_full_paper_archived,reasoning_omission,183.png,FN,Other,CaughtInBetween_hazard|Housekeeping_Storage|Other|PPE_Violation,CaughtInBetween_hazard|Housekeeping_Storage|PPE_Violation,,,caption cued category but hazard response omitted it
GROVE_full_paper_archived,reasoning_omission,184.jpg,FN,Fall_Hazard,Fall_Hazard|PPE_Violation,CaughtInBetween_hazard|Housekeeping_Storage|PPE_Violation,,,caption cued category but hazard response omitted it
GROVE_full_paper_archived,reasoning_hallucination,184.jpg,FP,CaughtInBetween_hazard,Fall_Hazard|PPE_Violation,CaughtInBetween_hazard|Housekeeping_Storage|PPE_Violation,GroundingDINO,Ladder being used improperly (worker leaning over top rail),hazard reasoner emitted category absent from GT
GROVE_full_paper_archived,reasoning_hallucination,184.jpg,FP,Housekeeping_Storage,Fall_Hazard|PPE_Violation,CaughtInBetween_hazard|Housekeeping_Storage|PPE_Violation,GroundingDINO,Wet ground conditions near ladder,hazard reasoner emitted category absent from GT
GROVE_full_paper_archived,reasoning_omission,186.png,FN,Electrocution_Hazard,Electrocution_Hazard,Fall_Hazard|Housekeeping_Storage,,,caption cued category but hazard response omitted it
GROVE_full_paper_archived,reasoning_hallucination,186.png,FP,Fall_Hazard,Electrocution_Hazard,Fall_Hazard|Housekeeping_Storage,GroundingDINO,Worker standing outside excavator cab without being seated or secured; potential for accidental movement of controls or machine instability during operation.,hazard reasoner emitted category absent from GT
GROVE_full_paper_archived,reasoning_hallucination,186.png,FP,Housekeeping_Storage,Electrocution_Hazard,Fall_Hazard|Housekeeping_Storage,GroundingDINO,Poor housekeeping — uneven ground with scattered debris under excavator bucket area.,hazard reasoner emitted category absent from GT
GROVE_full_paper_archived,reasoning_omission,189.png,FN,CaughtInBetween_hazard,CaughtInBetween_hazard|Electrocution_Hazard,Electrocution_Hazard|Fall_Hazard|Housekeeping_Storage,,,caption cued category but hazard response omitted it
GROVE_full_paper_archived,reasoning_hallucination,189.png,FP,Fall_Hazard,CaughtInBetween_hazard|Electrocution_Hazard,Electrocution_Hazard|Fall_Hazard|Housekeeping_Storage,GroundingDINO,Worker carrying extended ladder improperly while walking in a confined space,hazard reasoner emitted category absent from GT
GROVE_full_paper_archived,fallback_grounding_failure,189.png,FP,Housekeeping_Storage,CaughtInBetween_hazard|Electrocution_Hazard,Electrocution_Hazard|Fall_Hazard|Housekeeping_Storage,"DETR+CLIP (Sim=0.76, Match='person')",Poor housekeeping with trailing cables and scattered debris near work area,fallback source on false-positive category
GROVE_full_paper_archived,reasoning_omission,191.png,FN,StruckBy_Hazard,Fall_Hazard|Housekeeping_Storage|StruckBy_Hazard,Fall_Hazard|Housekeeping_Storage,,,caption cued category but hazard response omitted it
GROVE_full_paper_archived,reasoning_omission,192.jpg,FN,CaughtInBetween_hazard,CaughtInBetween_hazard|Fall_Hazard|PPE_Violation,Fall_Hazard|PPE_Violation,,,caption cued category but hazard response omitted it
GROVE_full_paper_archived,fallback_grounding_failure,198.png,FP,PPE_Violation,Electrocution_Hazard|Housekeeping_Storage,Electrocution_Hazard|Housekeeping_Storage|PPE_Violation,"DETR+CLIP (Sim=0.77, Match='bottle')","Missing PPE (no hard hats, high-vis vests visible)",fallback source on false-positive category
GROVE_full_paper_archived,reasoning_omission,199.jpeg,FN,Other,Fall_Hazard|Other,Fall_Hazard,,,caption cued category but hazard response omitted it
GROVE_full_paper_archived,reasoning_omission,202.png,FN,Housekeeping_Storage,Electrocution_Hazard|Housekeeping_Storage|StruckBy_Hazard,Electrocution_Hazard|Fall_Hazard,,,caption cued category but hazard response omitted it
GROVE_full_paper_archived,caption_omission,202.png,FN,StruckBy_Hazard,Electrocution_Hazard|Housekeeping_Storage|StruckBy_Hazard,Electrocution_Hazard|Fall_Hazard,,,caption lacked a direct cue for the missed category
GROVE_full_paper_archived,reasoning_hallucination,202.png,FP,Fall_Hazard,Electrocution_Hazard|Housekeeping_Storage|StruckBy_Hazard,Electrocution_Hazard|Fall_Hazard,GroundingDINO,Power tools left unattended on elevated scaffold platform with exposed edges | Lack of guardrails or fall protection systems visible on scaffolding structure,hazard reasoner emitted category absent from GT
GROVE_full_paper_archived,reasoning_omission,203.png,FN,Other,Other,,,,caption cued category but hazard response omitted it
